Timestamp,Package_Temp(°C),Core0_Temp(°C),Core1_Temp(°C),Core2_Temp(°C),Core3_Temp(°C),Core4_Temp(°C),Core5_Temp(°C),Core6_Temp(°C),Core7_Temp(°C),Fan_Speed(RPM),task_level,normalized_task
2025-07-31 10:41:35,50.0,49.0,47.0,50.0,49.0,49.0,48.0,49.0,49.0,1027,6.61,0.043228018613764393
2025-07-31 10:41:36,68.0,52.0,68.0,53.0,54.0,52.0,50.0,51.0,50.0,1024,3.63,0.0067352436933627215
2025-07-31 10:41:37,74.0,56.0,53.0,74.0,55.0,56.0,55.0,55.0,54.0,1022,3.41,0.004041146216017635
2025-07-31 10:41:39,78.0,59.0,57.0,78.0,58.0,59.0,58.0,58.0,57.0,1022,3.08,0.0
2025-07-31 10:41:40,77.0,60.0,77.0,60.0,77.0,71.0,61.0,61.0,60.0,1020,3.12,0.0004898359049718349
2025-07-31 10:41:41,81.0,72.0,70.0,63.0,81.0,73.0,72.0,71.0,71.0,1020,16.67,0.16642174871418078
2025-07-31 10:41:42,78.0,60.0,60.0,61.0,78.0,60.0,63.0,60.0,60.0,1022,3.16,0.0009796718099436697
2025-07-31 10:41:43,60.0,58.0,56.0,59.0,58.0,59.0,57.0,60.0,57.0,1023,24.38,0.26083761939750183
2025-07-31 10:41:44,58.0,55.0,54.0,56.0,54.0,57.0,55.0,57.0,56.0,1024,5.82,0.03355375949057066
2025-07-31 10:41:45,56.0,54.0,53.0,56.0,54.0,56.0,54.0,55.0,54.0,1024,28.23,0.3079843252510409
2025-07-31 10:41:46,68.0,57.0,54.0,68.0,55.0,68.0,56.0,56.0,57.0,1025,28.12,0.3066372765123684
2025-07-31 10:41:47,71.0,57.0,57.0,62.0,59.0,59.0,71.0,58.0,59.0,1023,4.88,0.022042615723732548
2025-07-31 10:41:48,83.0,63.0,62.0,66.0,64.0,65.0,83.0,75.0,66.0,1019,23.72,0.2527553269654666
2025-07-31 10:41:49,66.0,59.0,60.0,61.0,66.0,61.0,61.0,62.0,64.0,1023,21.04,0.2199363213323537
2025-07-31 10:41:50,68.0,60.0,59.0,68.0,58.0,62.0,59.0,61.0,60.0,1024,15.93,0.1573597844722018
2025-07-31 10:41:51,73.0,69.0,64.0,70.0,67.0,73.0,69.0,71.0,68.0,1024,29.42,0.322556943423953
2025-07-31 10:41:52,67.0,67.0,55.0,67.0,55.0,64.0,56.0,60.0,55.0,1025,28.32,0.30908645603722756
2025-07-31 10:41:53,60.0,56.0,55.0,58.0,55.0,59.0,56.0,60.0,57.0,1024,4.21,0.013837864315454322
2025-07-31 10:41:54,57.0,56.0,54.0,57.0,55.0,57.0,55.0,57.0,57.0,1024,25.75,0.2776144991427872
2025-07-31 10:41:55,73.0,61.0,64.0,69.0,67.0,73.0,71.0,68.0,71.0,1022,21.95,0.23108008817046288
2025-07-31 10:41:56,75.0,62.0,59.0,75.0,60.0,62.0,62.0,60.0,60.0,1022,16.15,0.1600538819495469
2025-07-31 10:41:57,82.0,62.0,62.0,64.0,63.0,69.0,64.0,83.0,71.0,1021,29.15,0.31925055106539313
2025-07-31 10:41:58,79.0,68.0,73.0,79.0,77.0,76.0,77.0,75.0,69.0,1020,28.97,0.3170462894930199
2025-07-31 10:41:59,81.0,61.0,61.0,62.0,61.0,64.0,64.0,66.0,81.0,1022,13.08,0.12245897624295861
2025-07-31 10:42:00,80.0,62.0,63.0,65.0,64.0,67.0,65.0,76.0,80.0,1022,20.03,0.20756796473181488
2025-07-31 10:42:01,62.0,61.0,58.0,62.0,60.0,62.0,60.0,62.0,59.0,1022,21.93,0.230835170217977
2025-07-31 10:42:02,74.0,58.0,70.0,61.0,72.0,72.0,73.0,74.0,73.0,1026,18.81,0.1926279696301739
2025-07-31 10:42:03,59.0,56.0,55.0,57.0,55.0,57.0,55.0,59.0,56.0,1025,26.05,0.2812882684300759
2025-07-31 10:42:04,60.0,59.0,57.0,60.0,57.0,60.0,58.0,60.0,57.0,1023,28.61,0.31263776634827334
2025-07-31 10:42:05,75.0,69.0,57.0,70.0,58.0,70.0,75.0,71.0,69.0,1025,22.34,0.23585598824393827
2025-07-31 10:42:06,58.0,57.0,55.0,57.0,55.0,57.0,55.0,57.0,56.0,1025,10.31,0.08853783982365908
2025-07-31 10:42:07,70.0,59.0,66.0,59.0,61.0,60.0,57.0,70.0,59.0,1024,24.88,0.26696056820964975
2025-07-31 10:42:08,60.0,58.0,56.0,59.0,57.0,59.0,57.0,60.0,58.0,1024,29.71,0.3261082537349988
2025-07-31 10:42:09,59.0,57.0,56.0,59.0,57.0,59.0,57.0,59.0,58.0,1024,9.92,0.08376193975018369
2025-07-31 10:42:10,57.0,57.0,55.0,57.0,55.0,57.0,56.0,57.0,56.0,1024,28.29,0.30871907910849866
2025-07-31 10:42:11,61.0,59.0,58.0,60.0,59.0,61.0,59.0,60.0,59.0,1023,28.53,0.3116580945383297
2025-07-31 10:42:12,61.0,59.0,57.0,59.0,58.0,60.0,57.0,61.0,59.0,1023,5.14,0.02522654910604947
2025-07-31 10:42:13,79.0,64.0,70.0,79.0,63.0,66.0,62.0,66.0,63.0,1022,23.91,0.25508204751408275
2025-07-31 10:42:14,64.0,60.0,59.0,64.0,60.0,62.0,61.0,62.0,61.0,1023,21.04,0.2199363213323537
2025-07-31 10:42:15,62.0,60.0,59.0,61.0,60.0,62.0,61.0,62.0,60.0,1023,17.61,0.17793289248101885
2025-07-31 10:42:16,74.0,58.0,58.0,74.0,57.0,60.0,57.0,69.0,58.0,1025,28.47,0.3109233406808719
2025-07-31 10:42:17,65.0,62.0,59.0,65.0,61.0,64.0,62.0,62.0,60.0,1023,28.51,0.3114131765858438
2025-07-31 10:42:18,75.0,71.0,64.0,75.0,75.0,72.0,71.0,65.0,75.0,1023,12.68,0.11756061719324026
2025-07-31 10:42:19,60.0,58.0,57.0,59.0,57.0,60.0,57.0,60.0,57.0,1025,17.16,0.17242223855008573
2025-07-31 10:42:21,68.0,57.0,56.0,59.0,57.0,60.0,56.0,68.0,56.0,1025,32.05,0.3547636541758511
2025-07-31 10:42:22,58.0,57.0,56.0,58.0,56.0,58.0,56.0,58.0,56.0,1026,14.39,0.1385011021307862
2025-07-31 10:42:23,68.0,58.0,58.0,60.0,62.0,59.0,62.0,68.0,57.0,1026,19.99,0.20707812882684298
2025-07-31 10:42:24,76.0,58.0,58.0,60.0,70.0,60.0,58.0,76.0,58.0,1025,28.57,0.3121479304433015
2025-07-31 10:42:25,58.0,58.0,56.0,58.0,56.0,58.0,56.0,58.0,56.0,1024,24.18,0.2583884398726427
2025-07-31 10:42:26,72.0,71.0,63.0,72.0,70.0,70.0,64.0,61.0,61.0,1023,8.04,0.06073965221650746
2025-07-31 10:42:27,58.0,56.0,55.0,57.0,55.0,57.0,55.0,57.0,55.0,1026,30.38,0.334313005143277
2025-07-31 10:42:28,71.0,57.0,57.0,59.0,69.0,60.0,59.0,71.0,59.0,1025,19.14,0.19666911584619157
2025-07-31 10:42:29,62.0,59.0,58.0,62.0,60.0,60.0,59.0,61.0,59.0,1023,17.24,0.1734019103600294
2025-07-31 10:42:30,57.0,55.0,54.0,56.0,54.0,55.0,54.0,55.0,54.0,1026,29.19,0.31974038697036494
2025-07-31 10:42:31,76.0,58.0,58.0,60.0,75.0,60.0,58.0,76.0,59.0,1025,26.99,0.292799412196914
2025-07-31 10:42:32,59.0,57.0,55.0,58.0,55.0,59.0,55.0,57.0,55.0,1025,6.25,0.03881949546901788
2025-07-31 10:42:33,60.0,59.0,57.0,59.0,58.0,59.0,58.0,60.0,58.0,1024,25.6,0.27577761449914284
2025-07-31 10:42:34,59.0,58.0,56.0,59.0,57.0,58.0,56.0,59.0,57.0,1025,34.19,0.38096987509184427
2025-07-31 10:42:35,58.0,56.0,54.0,57.0,56.0,57.0,55.0,57.0,55.0,1025,4.51,0.01751163360274308
2025-07-31 10:42:36,59.0,57.0,56.0,58.0,57.0,58.0,56.0,59.0,57.0,1025,28.02,0.30541268674993877
2025-07-31 10:42:37,72.0,71.0,67.0,72.0,60.0,71.0,69.0,61.0,70.0,1025,29.05,0.3180259613029635
2025-07-31 10:42:38,66.0,57.0,57.0,58.0,58.0,59.0,57.0,65.0,58.0,1026,3.81,0.008939505265735979
